Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
"academy-kurs-schamanische-reise","Schamanische Reise & Krafttiere","<p>Die Grundlagen der schamanischen Reise: Rhythmus, Absicht, Rückkehr — und die Begegnung mit dem eigenen Krafttier.</p><h3>Module</h3><ul><li><strong>Die drei Welten</strong> — Untere, mittlere und obere Welt im schamanischen Weltbild.</li><li><strong>Die Reise</strong> — Trommel, Absicht und sichere Rückkehr.</li><li><strong>Krafttiere</strong> — Begegnung, Beziehung, Botschaft.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Schamanismus & Bewusstsein","FALSE","Title","Default Title","K011","continue","manual","70.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394419-dLCwNh/schamanische-reise-kurs.jpg","1","draft"
"academy-kurs-rituale-jahreskreis","Rituale im Jahreskreis","<p>Sonnwenden, Tagundnachtgleichen und Mondzeiten als Anker im Jahr — mit einfachen Ritualen für dich und deine Gemeinschaft.</p><h3>Module</h3><ul><li><strong>Warum Rituale</strong> — Übergänge bewusst gestalten.</li><li><strong>Die acht Feste</strong> — Vom Wintersonnwend bis Samhain.</li><li><strong>Eigene Rituale</strong> — Einfach, ehrlich, wiederholbar.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Schamanismus & Bewusstsein","FALSE","Title","Default Title","K012","continue","manual","50.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394415-AkYCvT/rituale-jahreskreis-kurs.jpg","1","draft"
"academy-kurs-traumarbeit","Traumarbeit & Klarträumen","<p>Träume erinnern, verstehen und bewusst im Traum erwachen. Ein alter Weg zur Selbsterkenntnis.</p><h3>Module</h3><ul><li><strong>Träume erinnern</strong> — Das Traumtagebuch und der Moment des Aufwachens.</li><li><strong>Träume verstehen</strong> — Symbole, Gefühle und persönliche Bedeutung.</li><li><strong>Klarträumen</strong> — Realitätschecks und das Erwachen im Traum.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Schamanismus & Bewusstsein","FALSE","Title","Default Title","K013","continue","manual","60.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394431-IkzAZn/traumarbeit-kurs.jpg","1","draft"
"academy-kurs-frequenz-labor","Frequenz Labor – Klang, Schwingung, Resonanz","<p>Wie Klang auf Körper und Geist wirkt: Obertöne, Klangschalen, Solfeggio und eigene Experimente — neugierig und nüchtern zugleich.</p><h3>Module</h3><ul><li><strong>Was Schwingung ist</strong> — Physik von Klang und Resonanz, einfach erklärt.</li><li><strong>Instrumente</strong> — Klangschalen, Monochord, Stimme, Trommel.</li><li><strong>Eigene Experimente</strong> — Beobachten, aufschreiben, vergleichen.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Schamanismus & Bewusstsein","FALSE","Title","Default Title","K014","continue","manual","70.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394372-hiSYYp/frequenz-labor-kurs.jpg","1","draft"
"academy-kurs-moderne-techniken","Moderne Bewusstseinstechniken","<p>Biofeedback, Herzkohärenz, Binaurale Beats und Neurowissen — was moderne Werkzeuge über alte Praktiken verraten.</p><h3>Module</h3><ul><li><strong>Herz und Hirn</strong> — Herzratenvariabilität und Kohärenz.</li><li><strong>Werkzeuge</strong> — Apps, Sensoren, Klänge — und ihre Grenzen.</li><li><strong>Alt trifft neu</strong> — Meditation, Qi-Gong und Messbarkeit.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Schamanismus & Bewusstsein","FALSE","Title","Default Title","K015","continue","manual","60.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394397-TpZifA/moderne-techniken-kurs.jpg","1","draft"
"academy-kurs-intuition","Intuition & innere Stimme","<p>Die innere Stimme von Angst und Wunsch unterscheiden lernen — mit Übungen für Körper, Gefühl und Entscheidung.</p><h3>Module</h3><ul><li><strong>Was Intuition ist</strong> — Schnelles Wissen aus Erfahrung und Gespür.</li><li><strong>Unterscheiden lernen</strong> — Intuition, Angst und Wunschdenken.</li><li><strong>Entscheiden</strong> — Intuition im Alltag anwenden.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Schamanismus & Bewusstsein","FALSE","Title","Default Title","K016","continue","manual","50.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394383-fLJbB8/intuition-kurs.jpg","1","draft"
"academy-kurs-permakultur","Permakultur & Gemüsegarten","<p>Gärten, die mit der Natur arbeiten statt gegen sie: Boden, Mischkultur, Wasser und Kreisläufe — vom Balkon bis zum Hof.</p><h3>Module</h3><ul><li><strong>Die Prinzipien</strong> — Beobachten, Kreisläufe schließen, Vielfalt nutzen.</li><li><strong>Lebendiger Boden</strong> — Kompost, Mulch und Bodenleben.</li><li><strong>Mischkultur</strong> — Pflanzen, die sich gegenseitig helfen.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Heilwissen & Natur","FALSE","Title","Default Title","K017","continue","manual","80.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394409-kEwrdO/permakultur-kurs.jpg","1","draft"
"academy-kurs-selbstversorgung","Selbstversorgung – Haltbar machen, Fermentieren, Vorrat","<p>Einkochen, Fermentieren, Trocknen und Lagern: alte Techniken für eine unabhängige, gesunde Vorratskammer.</p><h3>Module</h3><ul><li><strong>Fermentieren</strong> — Sauerkraut, Kimchi, Kombucha.</li><li><strong>Einkochen und Trocknen</strong> — Sicher konservieren ohne Zusatzstoffe.</li><li><strong>Die Vorratskammer</strong> — Planen, lagern, rotieren.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Heilwissen & Natur","FALSE","Title","Default Title","K018","continue","manual","60.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394422-KL7NcB/selbstversorgung-kurs.jpg","1","draft"
"academy-kurs-waldwissen","Waldwissen – Bäume, Böden, Wildnis","<p>Den Wald lesen lernen: Baumarten, Pilznetzwerke, Spuren und die Stille zwischen den Stämmen.</p><h3>Module</h3><ul><li><strong>Bäume erkennen</strong> — Rinde, Blatt, Wuchs und Standort.</li><li><strong>Das unsichtbare Netz</strong> — Wurzeln, Pilze und Austausch unter der Erde.</li><li><strong>Im Wald sein</strong> — Waldbaden, Orientierung, Respekt.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Heilwissen & Natur","FALSE","Title","Default Title","K019","continue","manual","50.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394433-54xJvf/waldwissen-kurs.jpg","1","draft"
"academy-kurs-hausapotheke","Naturheilkunde für die Hausapotheke","<p>Tees, Wickel, Auflagen und Salben für kleine Alltagsbeschwerden — mit klarer Grenze, wann ärztliche Hilfe nötig ist.</p><h3>Module</h3><ul><li><strong>Grundausstattung</strong> — Was in eine natürliche Hausapotheke gehört.</li><li><strong>Anwendungen</strong> — Tee, Wickel, Auflage, Dampfbad.</li><li><strong>Grenzen kennen</strong> — Wann Naturheilkunde reicht und wann nicht.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Heilwissen & Natur","FALSE","Title","Default Title","K020","continue","manual","60.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394378-e11ghh/hausapotheke-kurs.jpg","1","draft"
"academy-kurs-wasser","Wasser – Quelle des Lebens","<p>Woher unser Wasser kommt, was es trägt und wie wir es schützen: Quellen, Filter, Kreisläufe und die Kultur des Wassers.</p><h3>Module</h3><ul><li><strong>Der Kreislauf</strong> — Vom Regen zur Quelle zum Meer.</li><li><strong>Trinkwasser</strong> — Qualität, Filterung, Speicherung.</li><li><strong>Wasser schützen</strong> — Im Haushalt, im Garten, in der Gemeinde.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Heilwissen & Natur","FALSE","Title","Default Title","K021","continue","manual","40.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394435-IJtqMw/wasser-kurs.jpg","1","draft"
"academy-kurs-heilfasten","Fasten – Grundlagen und Grenzen","<p>Intervallfasten, Fastenwochen und bewusster Verzicht — mit Vorbereitung, Begleitung und klaren Ausschlusskriterien.</p><h3>Module</h3><ul><li><strong>Warum Fasten</strong> — Tradition, Körper und Geist.</li><li><strong>Formen des Fastens</strong> — Intervall, Saft, Wasser — Unterschiede und Risiken.</li><li><strong>Die Fastenwoche</strong> — Entlastung, Fasten, Aufbau.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Heilwissen & Natur","FALSE","Title","Default Title","K022","continue","manual","50.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394380-y3VVOS/heilfasten-kurs.jpg","1","draft"
"academy-kurs-bienen","Bienen & Bestäuber schützen","<p>Wildbienen, Honigbienen und Schmetterlinge verstehen — und Gärten, Balkone und Wiesen zu Lebensräumen machen.</p><h3>Module</h3><ul><li><strong>Die Bestäuber</strong> — Wer bestäubt eigentlich was?</li><li><strong>Lebensraum schaffen</strong> — Blühpflanzen, Nisthilfen, Wasserstellen.</li><li><strong>Imkern mit Respekt</strong> — Wesensgemäße Bienenhaltung im Überblick.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Heilwissen & Natur","FALSE","Title","Default Title","K023","continue","manual","40.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394363-Rg758k/bienen-kurs.jpg","1","draft"
"academy-kurs-natuerlich-bauen","Natürlich bauen – Lehm, Holz, Stroh","<p>Bauen mit Materialien, die atmen und zurück in den Kreislauf können. Grundlagen aus der Praxis von Gemeinschaftsprojekten wie Awen.</p><h3>Module</h3><ul><li><strong>Baustoffe der Erde</strong> — Lehm, Holz, Stroh, Stein, Kalk.</li><li><strong>Techniken</strong> — Lehmputz, Strohballen, Holzverbindungen.</li><li><strong>Gemeinsam bauen</strong> — Planung, Genehmigung, Mitmach-Baustellen.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Heilwissen & Natur","FALSE","Title","Default Title","K024","continue","manual","90.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394400-3891OO/natuerlich-bauen-kurs.jpg","1","draft"
"academy-kurs-ai-art","AI ART – Kunst mit künstlicher Intelligenz","<p>Bilder, Klänge und Geschichten gemeinsam mit KI erschaffen — mit eigener Handschrift und klarem Blick auf Urheberschaft und Verantwortung.</p><h3>Module</h3><ul><li><strong>Werkzeuge</strong> — Bild-, Video- und Musik-KI im Überblick.</li><li><strong>Die eigene Handschrift</strong> — Stil, Auswahl und Nachbearbeitung.</li><li><strong>Verantwortung</strong> — Urheberrecht, Kennzeichnung, Ehrlichkeit.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Kunst & Musik","FALSE","Title","Default Title","K025","continue","manual","60.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394222-zYbs2D/ai-art-kurs.jpg","1","draft"
"academy-kurs-nature-art","Nature ART – Kunst als Brücke zur Natur","<p>Land Art, Naturmaterialien und vergängliche Werke: Kunst, die draußen entsteht und die Natur ehrt.</p><h3>Module</h3><ul><li><strong>Sehen lernen</strong> — Formen, Farben und Muster in der Natur.</li><li><strong>Land Art</strong> — Kreise, Linien, Spiralen aus dem, was da ist.</li><li><strong>Vergänglichkeit</strong> — Fotografieren, loslassen, weitergeben.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Kunst & Musik","FALSE","Title","Default Title","K026","continue","manual","50.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394404-iJpcdK/nature-art-kurs.jpg","1","draft"
"academy-kurs-musik-produzieren","Musik produzieren – Sounds, Beats, Videos","<p>Vom ersten Klang zum fertigen Stück und Musikvideo: Aufnahme, Arrangement, Mischung und Veröffentlichung.</p><h3>Module</h3><ul><li><strong>Das Studio zu Hause</strong> — Was man wirklich braucht.</li><li><strong>Vom Klang zum Stück</strong> — Aufnehmen, arrangieren, mischen.</li><li><strong>Das Musikvideo</strong> — Bilder, Schnitt und Veröffentlichung.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Kunst & Musik","FALSE","Title","Default Title","K027","continue","manual","80.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394398-w7so8m/musik-produzieren-kurs.jpg","1","draft"
"academy-kurs-stimme-gesang","Stimme & Gesang befreien","<p>Die eigene Stimme finden und frei klingen lassen: Atem, Resonanz, Obertöne und gemeinsames Singen.</p><h3>Module</h3><ul><li><strong>Der Atem trägt</strong> — Stütze, Haltung und Entspannung.</li><li><strong>Resonanz</strong> — Kopf, Brust, Maske — die Räume der Stimme.</li><li><strong>Gemeinsam singen</strong> — Kreislieder, Mantren, Obertonsingen.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Kunst & Musik","FALSE","Title","Default Title","K028","continue","manual","60.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394426-Td1EIG/stimme-gesang-kurs.jpg","1","draft"
"academy-kurs-intuitives-malen","Intuitives Malen & Gestalten","<p>Malen ohne Vorlage und ohne Bewertung: Farbe, Geste und Ausdruck als Weg zu dir selbst.</p><h3>Module</h3><ul><li><strong>Farbe und Gefühl</strong> — Warum Farben wirken.</li><li><strong>Die freie Geste</strong> — Große Formate, Pinsel, Hände.</li><li><strong>Das Bild spricht</strong> — Betrachten statt beurteilen.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Kunst & Musik","FALSE","Title","Default Title","K029","continue","manual","50.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394386-YJRG20/intuitives-malen-kurs.jpg","1","draft"
"academy-kurs-film-smartphone","Filmen mit dem Smartphone – Geschichten erzählen","<p>So entstehen Beiträge für NEO TV: Idee, Bild, Ton, Schnitt und Veröffentlichung — alles mit dem Gerät in deiner Tasche.</p><h3>Module</h3><ul><li><strong>Die Geschichte</strong> — Idee, Aufbau, Kernaussage.</li><li><strong>Bild und Ton</strong> — Licht, Einstellungen, Mikrofon.</li><li><strong>Schnitt</strong> — Rhythmus, Übergänge, Untertitel.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Kunst & Musik","FALSE","Title","Default Title","K030","continue","manual","60.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394367-nJ3a3J/film-smartphone-kurs.jpg","1","draft"
"academy-kurs-gewaltfreie-kommunikation","Gewaltfreie Kommunikation","<p>Beobachten, fühlen, brauchen, bitten: die vier Schritte, die Konflikte in Verbindung verwandeln.</p><h3>Module</h3><ul><li><strong>Die vier Schritte</strong> — Beobachtung, Gefühl, Bedürfnis, Bitte.</li><li><strong>Empathisch zuhören</strong> — Hinter den Worten das Bedürfnis hören.</li><li><strong>Im Konflikt</strong> — GFK, wenn es wirklich schwer wird.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Leben & Gemeinschaft","FALSE","Title","Default Title","K031","continue","manual","60.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394376-ATJetl/gewaltfreie-kommunikation-kurs.jpg","1","draft"
